Bubble Tea Shop,Latitude,Longitude,Place ID,Number of Nearby Colleges,Nearby Colleges,Average Distance to Colleges (m),Shortest Distance to Colleges (m),Number of Nearby Schools,Nearby Schools,Average Distance to Schools (m),Shortest Distance to Schools (m)
Bubble Tea Shop,45.5361062,-73.6135235,ChIJrRPobmMZyUwRmzUtZysr570,7,"['University of Montreal School of Public Health', 'Camp Des Arts De Vue Sur La Relève', 'CEGEP', 'IVADO', 'Boulevard Perras', 'École de Clown et Comédie / Clown and Comedy School', 'Maestria']",870.0,417.0,60,"['École La Petite-Patrie, Pavillon Saint-Jean-De-La-Croix', 'École de danse Le Ballet Théâtral de Montréal', 'Montreal Academy of Music', 'Distributions France Lecuyer Inc.', 'Services Conseils Hardy Inc', 'QuébecGuitare.com - Cours de Guitare Privé & Suivi en Ligne', 'La Petite Classe Montessori', 'MagieStrale', 'Parking', 'Enfance Pour Tous Faillon', 'University of Montreal School of Public Health', 'carrefour fdc', 'École primaire La Mennais', 'Succès Scolaire', 'Academy Sutherland Du Québec', 'Centre Educationnel Inter-Age Du Cegep Marie-Victorin', 'La Petite-Patrie Elementary School', 'Espace De Creation', 'School Driving Eco Permis', 'News Acropole Canada', 'Sainte-Cécile Elementary School', 'Tuition Of French I Private French Lessons - Montréal', 'Sophie De Cruz', 'Jeremy Roos', 'Express Voice Studio Little Italy', 'Nursery Les Trésors De La Petite Italie', 'Joan Et Mathilde', '235 Sainte Anne Varennes', 'Académie des QuantaPraticiens Internationale', 'Tienda de uniformes', 'Ecole Felix Lecler', 'Singing Lessons Network Euphonie', 'Escuela juan', 'Sensacion Latina', 'Arabesque Burlesque', 'Express Voice Studio: Cours de chant pour adultes', 'Guitar Studio Jason Field', ""Catherine's"", 'ADI accelerator', 'Educational Center Le Jardin Urbain', 'Academie Innatum Ecole Spec', 'Centre canadien de recherche sur le toucher', 'Primary School Laurier Transitoire', 'Amarrages Sans Frontières', 'Mtl Shamisen Project', 'Garderie Les Petits Garnements de TaGa', 'Les Affûtés - Petite Italie', 'École primaire Saint-Arsène', 'Ecole Charade', 'Cours De Chant ""Dévoiler Sa Voix""', 'Les Affûtés - Garage', ""Alexander Cook's Drum & Music Studio"", 'Practice', 'Rubika Nouvelle Adresse', 'Capucine Et Lulu', 'Servicestutorat', 'Private English Lessons Montreal Home Business in Villeray', 'School Arts And Music Viva', 'Nikitas Daycare', 'Nursery Catou']",723.4666666666667,120
Bubble Tea Shop,45.498627,-73.5709641,ChIJk0Ay_ZwbyUwRtjPsppB80xM,60,"['McGill University', 'École de technologie supérieure ÉTS', ""O'Sullivan College"", 'Concordia University', 'Desautels Faculty of Management, McGill University', 'McGill Executive Institute', 'Elite Consultation & Formation Association', 'Canada College', 'Ordre Des Geologues', 'McGill University Service Point', 'McGill University Safety', 'Immersive and Creative Technologies Lab, Concordia University', 'English and French Language Programs', 'Department of East Asian Studies', 'McGill School of Continuing Studies', 'Concordia Bootcamps', 'Herzing College Montreal', 'Department of Atmospheric and Oceanic Sciences', 'Laval University - Montreal Office', 'JIS education 菁华学院', 'Maison des étudiants - Pavillon E , ETS', 'Résidences ETS', 'NAD - École des arts numériques, de l’animation et du design', 'McGill', 'Newman Centre of McGill University', 'Education Canada College', 'Trebas Institute', 'EMBA McGill - HEC Montreal', 'John Molson School of Business', 'Stewart Biology Building - McGill University 🎓🏫', 'Université McGill', 'COLLÈGE CANADA', ""Canada College - King's Campus"", 'Canada college new campus', 'SKYWAYS AVIATION', 'MCMT College of Science', 'Concordia University VA Building', 'TAC College Solutions Inc', 'Voyages En Direct University', 'Ferrier Building 2', 'college', 'Mcit', 'LB Building, Concordia University', 'Concordia Card Services - Student ID', 'IISE Concordia Chapter', '4TH SPACE, Concordia University', ""Majlis ta'lim Nurul mangsub"", 'matralab', 'Pavillon Ev Building', 'Sir George Williams Campus', 'H Building Concordia University', 'Conservative Concordia', 'HEC Montréal - Édifice Hélène-Desmarais', 'École des dirigeants HEC Montréal', 'FiQbe', 'GCES', 'Faubourg Tower', ""Concordia University's Centre for Creative Reuse"", 'School of Technology Superior - ETS Building B', 'Languages, Literatures, and Cultures - Hispanic Studies']",794.75,319.0,60,"['EC Montreal English Language School', 'MLS', 'F.A.C.E. Elementary and Secondary School', 'Imagination Preschool & Nursery', 'Berlitz Montréal Learning Centre', 'General Physics Corporation', ""Conseil des Fonds d'Investissement du Québec"", 'Adult Education and Vocational Training Network', 'Canadian Institute For Health', 'Collège MEGA', 'Zumba Montreal', 'Blitz Tutorat', 'Academie', 'Medhat Hanbali - Film Composer', 'ISART Digital Montréal Inc', '四海同游', '法语认证班 - 双维国际菁英教育', 'Grade Gurus', 'McGill University Office of Sustainablity', 'McGill School of Continuing Studies', 'Superior Technical University - ETS, Pavillon B', 'UQAM', 'School of Community and Public Affairs, Concordia University', 'Herzing College Montreal', 'McGill CPE', 'Gemmological Institute of Montreal', 'Summit T E C C', 'FARMM', 'McGill University - Faculty of Law', ""Let's Go First Aid"", 'Fleur de Lys (Linguistic Services)', 'Kaplan (Canada) Ltd', 'CPE Genesis', 'MLS Inc', 'Academie Internationale De', 'Trebas Institute', 'National Truck Driving School Downtown MTL. Guy. C', 'Fraser Institute', 'Zoom Académie', '集合', 'Asm Le Studio Acting School', 'Cpe', 'Kovago Voice Studio', 'Roobet Game Store', 'Ville marie', 'College Varnier Rockland Montreal', 'Johnson Cornell Boardroom', 'The Factry Science and Creativity Center', 'School Zone', '1501 Mcgill College', '蒙罗亚尔美术学院', 'concordia', 'Stanilas', 'School Laughter De Montréal', 'Carnation', 'Cégep du vieux Montréal', 'Louis Belley', 'Ecole Tecnick', 'The testing location', 'Coronation primary']",666.65,6
Bubble Tea Shop,45.501355,-73.570814,ChIJh1KLHbAbyUwR5DRuYkp1Gvg,60,"['McGill University', ""O'Sullivan College"", 'Desautels Faculty of Management, McGill University', 'University of Quebec at Montreal', 'Concordia University', 'ISI, Higher Institute of Computer Science', 'École de technologie supérieure ÉTS', 'NAD - École des arts numériques, de l’animation et du design', 'McGill Executive Institute', 'McGill University Safety', 'Elite Consultation & Formation Association', 'Canada College', 'Ordre Des Geologues', 'English and French Language Programs', 'Department of East Asian Studies', 'McGill School of Continuing Studies', 'McGill University Service Point', 'Laval University - Montreal Office', 'Department of Atmospheric and Oceanic Sciences', 'Trottier Space Institute', 'School Show-Business', 'McGill', 'Immersive and Creative Technologies Lab, Concordia University', 'Concordia Bootcamps', 'Newman Centre of McGill University', 'Education Canada College', 'JIS education 菁华学院', 'Trebas Institute', 'Stewart Biology Building - McGill University 🎓🏫', 'EMBA McGill - HEC Montreal', 'Herzing College Montreal', 'The Presbyterian College, Montreal', 'Mcit', 'Ferrier Building 2', 'college', 'Voyages En Direct University', ""Majlis ta'lim Nurul mangsub"", 'UQAT Center in Montreal', 'Languages, Literatures, and Cultures - Hispanic Studies', ""Canada College - King's Campus"", 'COLLÈGE CANADA', 'Canada college new campus', 'TAC College Solutions Inc', 'Maass Chemistry Building', 'Collège Tmi', 'SKYWAYS AVIATION', 'Collège Greystone à Montréal', 'HEC Montréal - Édifice Hélène-Desmarais', 'École des dirigeants HEC Montréal', 'Université McGill', 'Macdonald-Harrington Building', 'MCMT College of Science', 'Macdonald Engineering Building', 'McGill Art Hive', 'Concordia University VA Building', 'McConnell Engineering Building', 'Arts OASIS', 'Volumes College', 'Maison Arthur-Kivell-Fisk', 'Concordia Card Services - Student ID']",729.7166666666667,0.0,60,"['University of Quebec at Montreal', 'F.A.C.E. Elementary and Secondary School', 'MLS', 'Berlitz Montréal Learning Centre', 'General Physics Corporation', ""Conseil des Fonds d'Investissement du Québec"", 'Adult Education and Vocational Training Network', 'Blitz Tutorat', 'Zumba Montreal', 'Canadian Institute For Health', 'Collège MEGA', 'McGill University Office of Sustainablity', 'McGill School of Continuing Studies', 'UQAM', 'Gemmological Institute of Montreal', 'FARMM', 'McGill CPE', 'Grade Gurus', 'Medhat Hanbali - Film Composer', 'Academie', '四海同游', 'ISART Digital Montréal Inc', '法语认证班 - 双维国际菁英教育', 'McGill University - Faculty of Law', 'EC Montreal English Language School', 'School of Community and Public Affairs, Concordia University', 'School Show-Business', 'Superior Technical University - ETS, Pavillon B', 'Coeur des sciences', 'Kaplan (Canada) Ltd', 'MLS Inc', 'Trebas Institute', 'Fraser Institute', 'Herzing College Montreal', 'Hexagram-UQAM', 'Academie Bar Pro', 'Superior College Of Montreal, Inc.', 'Zoom Académie', 'Roobet Game Store', 'Johnson Cornell Boardroom', '1501 Mcgill College', 'Ville marie', 'Académie CIVA - Formation en services bancaires, financiers et assurances', 'Institute Leadership In Gestion', 'McGill University - Undergraduate Teaching Clinic', '集合', 'Kovago Voice Studio', 'Language Trainers Canada', 'Middle School', 'Daku', 'San Pedro', 'Manjhiyawan bhonatoli', 'College Varnier Rockland Montreal', 'concordia', 'Stanilas', 'School Laughter De Montréal', 'Carnation', 'Cégep du vieux Montréal', 'Louis Belley', 'Ecole Tecnick']",601.35,4
OLa Boba Tea,45.58318389999999,-73.54243559999999,ChIJe-mGnqcdyUwRDR7LWixnrUY,4,"['voy k5', 'College Institute Trudeau International', 'Middle School De Maisonneuve -', 'CEGEP']",475.0,249.0,24,"['Scout', 'Espace Voix | Singing Lessons And Music', 'Tutoring Carole Senécal', 'Edward Murphy Elementary School', 'Irina Tariuk Ap 19', 'Institute Training Istam', 'College Ellis', 'École primaire Saint-Donat', 'École Saint-Donat Annexe', 'Nursery Polochon', 'Course Capteurs Industriels', 'Saint-Fabien Elementary School', ""Les Petits Bouts-de-Choux de L'Est"", 'School', 'Louis Dupire Elementary School', 'Escuela', 'École de langues Languistic.ca', 'Sophie Hypnose', 'Centre de méditation bouddhiste tibétaine Paramita de Montréal (Mercier)', 'Music Artists', 'Acupuncture Cadillac - Massage shiatsu Hochelaga Maisonneuve', 'Rosalie-Jetté Specialized Education School', 'Boutique du Tibet à Montréal (Mercier-Hochelaga)', 'Cadets Frontenac']",791.2916666666666,59
Chatime,45.5085893,-73.5721164,ChIJ1xjTVUgayUwRvxmlGV6LkLU,60,"['McGill University', 'Cegep of Old Montreal', 'University of Quebec at Montreal', 'Desautels Faculty of Management, McGill University', 'NAD - École des arts numériques, de l’animation et du design', 'ISI, Higher Institute of Computer Science', 'McGill Executive Institute', 'Centre de réadaptation en dépendance de Montréal – Institut universitaire', 'McGill University Safety', 'McGill University', 'Laval University - Montreal Office', 'McGill School of Continuing Studies', 'English and French Language Programs', 'Department of East Asian Studies', 'Trottier Space Institute', 'Department of Atmospheric and Oceanic Sciences', 'Memorial Pool', 'McGill University Service Point', ""Institut de Recherches et d'Études Féministes (IREF)"", 'School Show-Business', ""École de design de l'UQAM"", 'Collège Salette', 'Newman Centre of McGill University', 'Trebas Institute', 'Ordre Des Geologues', 'Education Canada College', 'Judith Jasmin Pavilion Annex', 'Unité de santé internationale', 'The Presbyterian College, Montreal', 'Cybersecurity degree and certification (by Kensley College)', 'Kensley College', 'UQAM - Pavillon President-Kennedy', 'Volumes College', 'Complexe des sciences Pierre-Dansereau', 'Collège Greystone à Montréal', 'Collège Tmi', 'UQAT Center in Montreal', 'Maison Arthur-Kivell-Fisk', 'Languages, Literatures, and Cultures - Hispanic Studies', 'McConnell Engineering Building', 'Macdonald-Harrington Building', 'Maass Chemistry Building', 'Macdonald Engineering Building', ""Majlis ta'lim Nurul mangsub"", 'Mcgill College', 'ESMA, 3D College in Montreal', 'Arts OASIS', 'L.M. Trottier Building', 'M. H. Wong Building', 'McGill Department of Kinesiology and Physical Education (KPE)', 'Mcit', 'Duff Medical Building', 'mcgill', 'McGill Faculty of Education', 'CGH College', 'McGill Art Hive', 'CEGEP', 'Ferrier Building 2', 'college', 'UQAM pavillon V']",753.3333333333334,109.0,60,"['University of Quebec at Montreal', 'Montreal High School - Adult Education Centre', 'F.A.C.E. Elementary and Secondary School', 'MLS', 'Berlitz Montréal Learning Centre', 'Coeur des sciences', 'Hexagram-UQAM', 'McGill School of Continuing Studies', 'FARMM', 'UQAM', 'Gemmological Institute of Montreal', ""Conseil des Fonds d'Investissement du Québec"", 'Adult Education and Vocational Training Network', 'Blitz Tutorat', 'McGill University Office of Sustainablity', 'McGill CPE', 'EESNQ', 'McGill University - Faculty of Law', 'School Show-Business', ""Académie Herb'holiste Inc. Course D'herboristerie"", 'Kaplan (Canada) Ltd', 'Fashion College ESG UQÀM, in Partnership with the UQÀM Faculty of Arts', 'Paulo Bottas - Music', 'Trebas Institute', 'MLS Inc', 'Institut De Tenue De Bar Absolute', 'Academie Bar Pro', 'Flag Sherbrooke', 'Club Immobiliet', 'UQAM Pavillon Sherbrooke', 'The Physical Voice', 'Elizabeth Wirth Music Building', 'Stationnement Face', 'Cpe', 'Sim Center Mcgill', 'Collège Greystone à Montréal', 'Schulich School of Music', 'Office for Sexual Violence Response, Support and Education', 'Fovnded High School of Montreal', 'Montreal School of Jewelery', 'Stem Montessori Academy of Canada Montreal', 'SC COLLEGE QUEBEC', '蒙特利尔中加语言文化学院', 'Digilabs-Mtl', 'Caron Ltee Language School', 'UQAT Center in Montreal', 'Pulp & Paper Building', 'Kambhampati Research Group', 'Wilson Hall', 'Ballet Raices de Colombia', 'Regroupement pour la formation en audiovisuel du Québec', 'Academic Values', 'McGill University School of Religious Studies', 'Maass Chemistry Building', 'Department of Languages, Literatures, and Cultures - Russian and Slavic Studies', 'inmigratorio woman', 'École Alemán', 'learn2piano', 'Matthew Lui Kung Fu', 'School Circus']",633.5833333333334,162
The Alley Montreal,45.4948234,-73.57765429999999,ChIJ0XpAvrgbyUwRLq2_-QxhoO4,60,"['Collège of Montréal', 'Collège LaSalle', ""O'Sullivan College"", 'Concordia University', 'Desautels Faculty of Management, McGill University', 'Académie Michèle-Provost', 'Dawson College', 'Middle School Inter-Dec', 'McGill Executive Institute', 'JIS education 菁华学院', 'Concordia Bootcamps', 'Immersive and Creative Technologies Lab, Concordia University', 'Herzing College Montreal', 'Lasalle Service', 'Canada College', 'Ordre Des Geologues', 'Middle School De Montréal', 'McGill', 'McGill University Service Point', 'Newman Centre of McGill University', 'John Molson School of Business', 'Education Canada College', 'IISE Concordia Chapter', 'Stewart Biology Building - McGill University 🎓🏫', 'FiQbe', 'Faubourg Tower', 'Pavillon Ev Building', ""Concordia University's Centre for Creative Reuse"", 'JMSB', 'matralab', 'LB Building, Concordia University', 'Concordia Card Services - Student ID', '4TH SPACE, Concordia University', 'Grey Nuns Building, classroom entrance', 'Concordia University ER Building', 'Centre arts et santé de Concordia', 'CENPARMI - Concordia University', 'Concordia University Department of Computer Science and Software Engineering', 'Sir George Williams Campus', 'H Building Concordia University', 'Conservative Concordia', 'MCMT College of Science', 'Concordia Model United Nations Conference', 'Concordia University VA Building', 'GCES', 'Université McGill', 'Canada college new campus', 'COLLÈGE CANADA', ""Canada College - King's Campus"", 'Veritas College of Technology Inc.', 'TAC College Solutions Inc', 'UNIVERSITE DE MONTREAL', 'S et G', 'Hosmer House Annex', 'Divison of Child Psychiatry, McGill University', 'McGill Art Hive', 'SKYWAYS AVIATION', 'New Chancellor Day Hall', 'Mcgill', 'CEGEP']",600.2333333333333,12.0,60,"['Collège of Montréal', 'EC Montreal English Language School', 'Académie Michèle-Provost', 'LAB Montreal - Languages Across Borders', 'Middle School Inter-Dec', 'MLS', 'Summit T E C C', 'Fleur de Lys (Linguistic Services)', '法语认证班 - 双维国际菁英教育', 'ISART Digital Montréal Inc', '四海同游', ""Let's Go First Aid"", 'Academie', 'Medhat Hanbali - Film Composer', 'Herzing College Montreal', 'School of Community and Public Affairs, Concordia University', 'Grade Gurus', 'Collège MEGA', 'CPE Genesis', 'Zumba Montreal', 'General Physics Corporation', 'Canadian Institute For Health', 'Alima, Centre de nutrition sociale périnatale (anciennement Dispensaire diététique de Montréal)', 'Garderie Rainbow Daycare', ""Conseil des Fonds d'Investissement du Québec"", 'McGill University Office of Sustainablity', 'McGill CPE', 'National Truck Driving School Downtown MTL. Guy. C', 'Centennial College', 'McGill University - Faculty of Law', 'Academie Internationale De', 'Trafalgar School for Girls', 'The Sacred Heart School of Montreal', 'Japanese Language School In Montreal', 'Fraser Institute', 'Beyond Education Canada', 'Studio Vandendool (Guitar lessons)', 'Mel Hoppenheim School of Cinema', 'School FB Building', 'Concordia Continuing Education', 'Qin Academy', 'FB building', 'Department of Education', 'Concordia University FG building', 'Escuela de Inglés en Montreal', 'Concordia University, Toronto - Dominion Building', 'Al Madinah Mosque', 'MB Concordia University - School of Business', 'Concordia University, Guy - De Maisonneuve Building', 'Conference Services', 'Concordia University, John Molson Building', 'GM building', 'Grey Nuns Building', ""Jiacheng International Centre D'échange Culture"", 'FENGYE College Center', 'Fac Mtl', 'Concordia Print Shop', 'Express Voice Studio. Cours de Chant Downtown', 'Concordia University Learning Square (LS)', 'Centre International de Langue Sishu']",479.78333333333336,3
Bubble Tea Shop,45.495379,-73.57928,ChIJuQHWPh0byUwRlgTAaNZ68yE,60,"['Collège of Montréal', 'Collège LaSalle', ""O'Sullivan College"", 'Concordia University', 'Dawson College', 'Desautels Faculty of Management, McGill University', 'Académie Michèle-Provost', 'Middle School Inter-Dec', 'McGill Executive Institute', 'JIS education 菁华学院', 'Immersive and Creative Technologies Lab, Concordia University', 'Concordia Bootcamps', 'Herzing College Montreal', 'Lasalle Service', 'Middle School De Montréal', 'Ordre Des Geologues', 'Canada College', 'McGill', 'McGill University Safety', 'McGill University Service Point', 'Newman Centre of McGill University', 'Stewart Biology Building - McGill University 🎓🏫', 'John Molson School of Business', 'IISE Concordia Chapter', 'JMSB', 'Concordia University ER Building', 'CENPARMI - Concordia University', 'Centre arts et santé de Concordia', 'Pavillon Ev Building', 'Faubourg Tower', 'Concordia University Department of Computer Science and Software Engineering', 'FiQbe', 'matralab', '4TH SPACE, Concordia University', 'Sir George Williams Campus', 'LB Building, Concordia University', 'Concordia Model United Nations Conference', 'Concordia Card Services - Student ID', ""Concordia University's Centre for Creative Reuse"", 'Conservative Concordia', 'H Building Concordia University', 'GCES', 'Grey Nuns Building, classroom entrance', 'MCMT College of Science', 'Veritas College of Technology Inc.', 'Concordia University VA Building', 'Canada college new campus', 'Université McGill', ""Canada College - King's Campus"", 'COLLÈGE CANADA', 'UNIVERSITE DE MONTREAL', 'TAC College Solutions Inc', 'Hosmer House Annex', 'S et G', 'Education Canada College', 'Divison of Child Psychiatry, McGill University', 'McGill Art Hive', 'New Chancellor Day Hall', 'Mcgill', 'McIntyre Medical Sciences Building - Upper Entrance']",572.3333333333334,59.0,60,"['Collège of Montréal', 'Académie Michèle-Provost', 'EC Montreal English Language School', 'LAB Montreal - Languages Across Borders', 'Middle School Inter-Dec', 'MLS', 'Summit T E C C', 'Fleur de Lys (Linguistic Services)', '四海同游', '法语认证班 - 双维国际菁英教育', 'School of Community and Public Affairs, Concordia University', 'ISART Digital Montréal Inc', ""Let's Go First Aid"", 'Medhat Hanbali - Film Composer', 'Academie', 'Grade Gurus', 'Herzing College Montreal', 'Alima, Centre de nutrition sociale périnatale (anciennement Dispensaire diététique de Montréal)', 'Collège MEGA', 'Zumba Montreal', 'Canadian Institute For Health', 'CPE Genesis', ""Conseil des Fonds d'Investissement du Québec"", 'McGill University Office of Sustainablity', 'General Physics Corporation', 'McGill CPE', 'McGill University - Faculty of Law', 'National Truck Driving School Downtown MTL. Guy. C', 'Garderie Rainbow Daycare', 'Centennial College', 'The Sacred Heart School of Montreal', 'Academie Internationale De', 'Trafalgar School for Girls', 'Japanese Language School In Montreal', 'Fraser Institute', 'Studio Vandendool (Guitar lessons)', 'Beyond Education Canada', 'Concordia University, John Molson Building', 'MB Concordia University - School of Business', 'FENGYE College Center', 'Concordia University, Guy - De Maisonneuve Building', 'GM building', 'Express Voice Studio. Cours de Chant Downtown', 'Concordia University, Toronto - Dominion Building', 'Qin Academy', 'FB building', 'Concordia University Learning Square (LS)', ""Jiacheng International Centre D'échange Culture"", 'Centre International de Langue Sishu', 'Concordia Continuing Education', 'Simone de Beauvoir Institute', 'Escuela de Inglés en Montreal', 'Concordia University FG building', 'Q Annex Building', 'School FB Building', 'Parking Moto', 'T Annex Building', 'Mel Hoppenheim School of Cinema', 'RR Annex', 'FA Annex']",467.06666666666666,59
Gong Cha,45.5257478,-73.58154979999999,ChIJOXWPWI0byUwRI-q2TjxNmGQ,4,"[""GERIQ - Groupe d'études et de recherche sur l'international et le Québec"", 'École d’été: Construire l’action publique Jeunesse : un processus collectif | ENAP-Montréal', 'Geosphair Aviation Inc.', 'Rbq Compétence']",393.0,0.0,60,"['Laurier Elementary School', 'Yoga Sangha', ""Nursery L'ilot Calin"", 'Bancroft Elementary School', 'AUTOPOÏÉSIS', 'Centre De Formation Contech', 'Academy Salsa de Montréal', ""Association Student De L'enap"", 'Sophie Lapierre Cours De Chant Fusion', 'Association Feldenkrais Québec', '23e Jour Communications', 'École primaire Paul-Bruchési', 'Infopress', 'Center Musicians Du Monde', 'Reseau Education Medias', 'Rdv par Patrick G. Nadeau', ""Ėcole JEM l'informatique"", 'National Theatre School of Canada', 'Lanaudiere Elementary School', 'Institut Pour La Diffusion Inc', 'Converlang', 'Cooperative Teachers De Musique', ""Clinique De Lecture Et D'Ecriture"", 'Rainbow Elementary School', 'École primaire Louis-Hippolyte-Lafontaine', 'MIND High School', 'Centre de Qigong Laflamme', 'National School of Public Administration (ENAP)general information', 'St. Enfant Jesus Primary School', 'Fragments Libres, École de Qi Gong', 'Academy Diderot', 'Art du Chi Montréal', 'Access Trager', 'Eric Racette (Reiki RITUALS)', 'Chimerik, Ateliers Théâtre', ""Centre D'éducation Somatique Du Plateau Odette Guimond"", 'Space Be Meditation And Yoga', 'Rbq Compétence', 'Optima Tutorat', 'Laurier', 'Les ateliers kikicode', 'Workshops Education Popular Du Plateau', 'CMM', 'University Du Québec', 'Groupe d’étude sur la gouvernance et la passation des marchés publics', 'mBit Game Store', 'Solution Modulaire Scolaire', 'École primaire au Pied-de-la-Montagne - Pavillon Saint-Jean-Baptiste', 'Emmem', 'Impro Sierra', 'Physio St-Joseph', 'École des Beaux-Arts de Montréal EBAMA', 'Les Cours De Chant De Béné', 'Aria Atelier De Chant', 'Marie-Andrée Beaudet', 'École de danse JiveStudio', 'Anadanse', 'Nathalie Boutrie', 'Tadaima Meditation', 'Suzuki and Traditional Violin Lessons in Montreal']",702.1833333333333,37
Bubble Tea Shop,45.4529508,-73.6458851,ChIJb3yKdrAXyUwRxKieAJfUEKU,6,"['Concordia University - Loyola Campus', 'Centre for Structural and Functional Genomics (GE)', 'Concordia University - HU Building', 'Central Building (CC)', 'Loyola Business Services Hub - ID cards and more', 'mind.heart.mouth']",961.1666666666666,782.0,35,"['Loyola High School', 'Collège Prep International', 'Royal West Academy', 'Les Pianos Westend Ltée - Westend Piano Ltd (*please call and book appointment before coming*)', 'Personalized Design Educational Consultants', 'School Saint-Luc - Annexe Terrebonne', 'Fondation Place Coco (La)', 'Garderie Montreal Ouest', 'École primaire Martin-Bélanger', 'Elizabeth Ballantyne Elementary School', 'Gina Rubinsky, Psychologist', 'Curzon Creative Preschool', 'Roslyn Weinstein Piano Studio', 'Center Development & Training Ics Ltée', 'City Farm School', 'Centre Eric Maclean. S.J.', 'The Grove, Concordia University', 'Montreal West Tennis Club', 'The Little Red Playhouse Bilingual Preschool', 'Administration Building', '146 Avenue Duranceau', 'Hingston Hall B Building Concordia Loyola', 'Psychology Building', 'Concordia F.C. Smith Building', 'Barry Goodz - Montreal West Guitar Lessons', 'Concordia SC Building', 'Concordia Physical Services', 'EC Smith Auditorium', 'Terrebonne Building, Concordia University', 'Physical Plant - Concordia University', 'The Quadrangle, Concordia University', 'Loyola Quad', 'Piscina Ultima', 'École Sainte-Catherine-de-Sienne', 'Muslim Schools Of Montreal (Elementary Campus)']",871.0285714285715,94
Real Fruit Bubble Tea,45.5026725,-73.57171389999999,ChIJLWhYybIbyUwROq0s6LLmi2w,60,"['McGill University', ""O'Sullivan College"", 'University of Quebec at Montreal', 'Desautels Faculty of Management, McGill University', 'ISI, Higher Institute of Computer Science', 'NAD - École des arts numériques, de l’animation et du design', 'McGill Executive Institute', 'Concordia University', 'McGill University Safety', 'Elite Consultation & Formation Association', 'English and French Language Programs', 'Department of East Asian Studies', 'McGill School of Continuing Studies', 'Laval University - Montreal Office', 'Department of Atmospheric and Oceanic Sciences', 'McGill University Service Point', 'Ordre Des Geologues', 'Canada College', 'Trottier Space Institute', 'McGill', 'School Show-Business', 'McGill University', 'Newman Centre of McGill University', 'Immersive and Creative Technologies Lab, Concordia University', 'Education Canada College', 'Trebas Institute', 'Stewart Biology Building - McGill University 🎓🏫', 'EMBA McGill - HEC Montreal', 'Memorial Pool', 'The Presbyterian College, Montreal', ""Majlis ta'lim Nurul mangsub"", 'Mcit', 'Languages, Literatures, and Cultures - Hispanic Studies', 'UQAT Center in Montreal', 'Collège Tmi', 'Maass Chemistry Building', 'Collège Greystone à Montréal', 'Ferrier Building 2', 'college', 'Voyages En Direct University', 'Macdonald-Harrington Building', 'TAC College Solutions Inc', 'Macdonald Engineering Building', ""Canada College - King's Campus"", 'McConnell Engineering Building', 'COLLÈGE CANADA', 'Canada college new campus', 'Arts OASIS', 'McGill Art Hive', 'Volumes College', 'Maison Arthur-Kivell-Fisk', 'HEC Montréal - Édifice Hélène-Desmarais', 'École des dirigeants HEC Montréal', 'Mcgill College', ""Medical Students' Society of McGill University"", 'SKYWAYS AVIATION', 'Université McGill', 'Cybersecurity degree and certification (by Kensley College)', 'Kensley College', 'New Chancellor Day Hall']",762.6,307.0,60,"['University of Quebec at Montreal', 'F.A.C.E. Elementary and Secondary School', 'MLS', 'Berlitz Montréal Learning Centre', ""Conseil des Fonds d'Investissement du Québec"", 'General Physics Corporation', 'Adult Education and Vocational Training Network', 'Blitz Tutorat', 'McGill School of Continuing Studies', 'McGill University Office of Sustainablity', 'UQAM', 'Zumba Montreal', 'Gemmological Institute of Montreal', 'Collège MEGA', 'FARMM', 'Canadian Institute For Health', 'McGill CPE', 'Grade Gurus', 'McGill University - Faculty of Law', 'Medhat Hanbali - Film Composer', 'Coeur des sciences', '四海同游', 'School Show-Business', 'Academie', 'ISART Digital Montréal Inc', '法语认证班 - 双维国际菁英教育', 'School of Community and Public Affairs, Concordia University', 'Hexagram-UQAM', 'Kaplan (Canada) Ltd', 'MLS Inc', 'Trebas Institute', 'Fraser Institute', 'Academie Bar Pro', 'Superior College Of Montreal, Inc.', 'Zoom Académie', '1501 Mcgill College', 'Académie CIVA - Formation en services bancaires, financiers et assurances', 'McGill University - Undergraduate Teaching Clinic', 'Language Trainers Canada', 'Kpodjehoun Sodji Baba', 'Medan utara', 'Roobet Game Store', 'Institute Leadership In Gestion', 'Academic Values', 'Johnson Cornell Boardroom', 'Department of Languages, Literatures, and Cultures - Russian and Slavic Studies', 'UQAT Center in Montreal', 'Caron Ltee Language School', 'SC COLLEGE QUEBEC', '蒙特利尔中加语言文化学院', 'Ville marie', 'School Zone', 'Stem Montessori Academy of Canada Montreal', 'Maass Chemistry Building', 'Kambhampati Research Group', 'Laurent Pharmaceuticals', 'Regroupement pour la formation en audiovisuel du Québec', ""Institute D'assurance"", 'Office for Sexual Violence Response, Support and Education', 'Collège Greystone à Montréal']",647.4,199
